Flight No.,Date,Time,Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
109,4,March,F9 B5 ♺,KSC,Starlink,,LEO,SpaceX,Success,Success(drone ship)
110,11,March,F9 B5 ♺,CCSFS,Starlink,,LEO,SpaceX,Success,Success(drone ship)
111,14,March,F9 B5 ♺,KSC,Starlink,,LEO,SpaceX,Success,Success(drone ship)
112,24,March,F9 B5,CCSFS,Starlink,,LEO,SpaceX,Success,Success(drone ship)
113,7,April,F9 B5 ♺,CCSFS,Starlink,,LEO,SpaceX,Success,Success(drone ship)
114,23,April,F9 B5,KSC,Crew-2,,LEO,NASA,Success,Success(drone ship)
115,29,April,F9 B5,CCSFS,Starlink,,LEO,SpaceX,Success,Success(drone ship)
116,4,May,F9 B5,KSC,Starlink,,LEO,SpaceX,Success,Success(drone ship)
117,9,May,F9 B5,CCSFS,Starlink,,LEO,SpaceX,Success,Success(drone ship)
118,15,May,F9 B5,KSC,Starlink,,LEO,SpaceX,Success,Success(drone ship)
119,26,May,F9 B5,CCSFS,Starlink,,LEO,SpaceX,Success,Success(drone ship)
120,3,June,F9 B5,KSC,SpaceX CRS-22,,LEO,NASA,Success,Success(drone ship)
121,6,June,F9 B5,CCSFS,SXM-8,,GTO,Sirius XM,Success,Success(drone ship)
